id,longitude,latitude,density
0,-123.12884,49.20889,1
1,-123.10003,49.27643,1
2,-123.10171,49.25567,1
3,-123.10318,49.25894,1
4,-123.12432,49.2781,1
5,-123.09979,49.27619,1
6,-123.10728,49.26931,1
7,-123.15524,49.22839,1
8,-123.13028,49.2652,1
9,-123.09979,49.27718,1
10,-123.09767,49.26813,1
11,-123.10103,49.25565,1
12,-123.08861,49.27841,1
13,-123.07551,49.2631,1
14,-123.0972,49.26059,1
15,-123.07363,49.2612,1
16,-123.14448,49.2618,2
17,-123.19309,49.25475,1
18,-123.09925,49.2636,1
19,-123.05973,49.28172,1
20,-123.1577,49.26446,1
21,-123.10154,49.2637,1
22,-123.12598,49.28671,1
23,-123.17867,49.2522,1
24,-123.16244,49.26473,1
25,-123.09687,49.26113,1
26,-123.04429,49.28833,1
27,-123.12001,49.26011,1
28,-123.093,49.26465,1
29,-123.08985,49.2667,1
30,-123.1024,49.28076,1
31,-123.11279,49.26874,1
32,-123.15837,49.27087,1
33,-123.1509,49.26472,1
34,-123.08241,49.25182,1
35,-123.08075,49.28004,1
36,-123.10374,49.26921,1
37,-123.13198,49.2808,1
38,-123.10305,49.26929,1
39,-123.13079,49.25972,1
40,-123.13053,49.26164,1
41,-123.09683,49.28453,1
42,-123.18493,49.26441,1
43,-123.03167,49.23707,1
44,-123.12027,49.26506,1
45,-123.13718,49.25795,2
46,-123.18566,49.26923,1
47,-123.14147,49.26459,1
48,-123.10027,49.25666,1
49,-123.09257,49.24461,1
50,-123.18674,49.26618,1
51,-123.07227,49.26135,1
52,-123.06562,49.27342,1
53,-123.16459,49.26765,1
54,-123.1365,49.26173,1
55,-123.06473,49.28391,1
56,-123.09686,49.24851,1
57,-123.12615,49.28697,2
58,-123.02472,49.26661,1
59,-123.0672,49.25625,1
60,-123.09676,49.2804,1
61,-123.09494,49.2565,1
62,-123.12402,49.28276,1
63,-123.08567,49.28016,1
64,-123.11637,49.25154,1
65,-123.14112,49.21934,3
66,-123.1284,49.28351,1
67,-123.09998,49.27647,1
68,-123.13031,49.28744,1
69,-123.15723,49.26566,2
70,-123.10034,49.25938,1
71,-123.09375,49.26159,1
72,-123.20582,49.27517,2
73,-123.15236,49.27036,2
74,-123.09883,49.32331,1
75,-123.09625,49.26096,1
76,-123.08187,49.31449,1
77,-123.06926,49.26714,1
78,-123.17748,49.26601,1
79,-123.10042,49.25571,1
80,-123.0781,49.2588,1
81,-123.05084,49.24706,1
82,-123.1879,49.26509,1
83,-123.14266,49.25989,1
84,-123.12583,49.27873,2
