id,longitude,latitude,density
0,-123.08698672093024,49.33472551315789,39
1,-123.08010360465117,49.33472551315789,21
2,-123.0732204883721,49.33472551315789,53
3,-123.06633737209303,49.33472551315789,10
4,-123.05945425581396,49.33472551315789,27
5,-123.05257113953489,49.33472551315789,33
6,-123.27283086046512,49.330118802631574,21
7,-123.09386983720931,49.330118802631574,76
8,-123.08698672093024,49.330118802631574,9
9,-123.08010360465117,49.330118802631574,10
10,-123.0732204883721,49.330118802631574,31
11,-123.06633737209303,49.330118802631574,18
12,-123.05945425581396,49.330118802631574,2
13,-123.05257113953489,49.330118802631574,10
14,-123.27283086046512,49.32551209210526,98
15,-123.10075295348838,49.32551209210526,16
16,-123.09386983720931,49.32551209210526,13
17,-123.08698672093024,49.32551209210526,10
18,-123.08010360465117,49.32551209210526,8
19,-123.0732204883721,49.32551209210526,92
20,-123.06633737209303,49.32551209210526,33
21,-123.05945425581396,49.32551209210526,4
22,-123.05257113953489,49.32551209210526,12
23,-123.10075295348838,49.320905381578946,98
24,-123.09386983720931,49.320905381578946,76
25,-123.08698672093024,49.320905381578946,18
26,-123.08010360465117,49.320905381578946,23
27,-123.0732204883721,49.320905381578946,95
28,-123.06633737209303,49.320905381578946,78
29,-123.05945425581396,49.320905381578946,6
30,-123.05257113953489,49.320905381578946,22
31,-123.04568802325582,49.320905381578946,3
32,-123.10075295348838,49.31629867105263,33
33,-123.09386983720931,49.31629867105263,17
34,-123.08698672093024,49.31629867105263,32
35,-123.08010360465117,49.31629867105263,88
36,-123.0732204883721,49.31629867105263,73
37,-123.06633737209303,49.31629867105263,58
38,-123.05945425581396,49.31629867105263,17
39,-123.05257113953489,49.31629867105263,11
40,-123.04568802325582,49.31629867105263,1
41,-123.03880490697675,49.31629867105263,2
42,-123.10075295348838,49.31169196052631,18
43,-123.09386983720931,49.31169196052631,23
44,-123.08698672093024,49.31169196052631,5
45,-123.08010360465117,49.31169196052631,206
46,-123.0732204883721,49.31169196052631,118
47,-123.06633737209303,49.31169196052631,6
48,-123.05945425581396,49.31169196052631,19
49,-123.05257113953489,49.31169196052631,10
50,-123.04568802325582,49.31169196052631,9
51,-123.03880490697675,49.31169196052631,6
52,-123.03192179069768,49.31169196052631,10
53,-123.10075295348838,49.30708525,1
54,-123.08010360465117,49.30708525,6
55,-123.0732204883721,49.30708525,97
56,-123.06633737209303,49.30708525,29
57,-123.05945425581396,49.30708525,3
58,-123.05257113953489,49.30708525,11
59,-123.04568802325582,49.30708525,1
60,-123.03880490697675,49.30708525,19
61,-123.03192179069768,49.30708525,79
62,-123.1420516511628,49.29326511842105,38
63,-123.13516853488373,49.29326511842105,89
64,-123.1420516511628,49.28865840789474,482
65,-123.13516853488373,49.28865840789474,575
66,-123.12828541860466,49.28865840789474,250
67,-123.12140230232559,49.28865840789474,249
68,-123.11451918604652,49.28865840789474,7
69,-123.05945425581396,49.28865840789474,38
70,-123.05257113953489,49.28865840789474,11
71,-123.04568802325582,49.28865840789474,25
72,-123.02503867441861,49.28865840789474,10
73,-123.1420516511628,49.28405169736842,351
74,-123.13516853488373,49.28405169736842,619
75,-123.12828541860466,49.28405169736842,660
76,-123.12140230232559,49.28405169736842,67
77,-123.11451918604652,49.28405169736842,305
78,-123.10763606976745,49.28405169736842,534
79,-123.10075295348838,49.28405169736842,107
80,-123.09386983720931,49.28405169736842,145
81,-123.08698672093024,49.28405169736842,5
82,-123.0732204883721,49.28405169736842,6
83,-123.06633737209303,49.28405169736842,65
84,-123.05945425581396,49.28405169736842,179
85,-123.05257113953489,49.28405169736842,47
86,-123.04568802325582,49.28405169736842,50
87,-123.03192179069768,49.28405169736842,3
88,-123.02503867441861,49.28405169736842,29
89,-123.1420516511628,49.2794449868421,101
90,-123.13516853488373,49.2794449868421,765
91,-123.12828541860466,49.2794449868421,323
92,-123.12140230232559,49.2794449868421,494
93,-123.11451918604652,49.2794449868421,354
94,-123.10763606976745,49.2794449868421,713
95,-123.10075295348838,49.2794449868421,615
96,-123.09386983720931,49.2794449868421,371
97,-123.08698672093024,49.2794449868421,203
98,-123.08010360465117,49.2794449868421,84
