id,longitude,latitude,density
0,-123.07935,49.26473,1
1,-123.13378,49.26094,1
2,-123.14223,49.26267,1
3,-123.15744,49.26882,1
4,-123.13991,49.28738,1
5,-123.12671,49.26126,1
6,-123.12443,49.25909,1
7,-123.09077,49.2634,1
8,-123.12296,49.27568,1
9,-123.21041,49.27371,1
10,-123.06857,49.27569,1
11,-123.133,49.28703,1
12,-123.10765,49.27848,1
13,-123.13617,49.29056,1
14,-123.10777,49.26215,1
15,-123.18594,49.27045,1
16,-123.1401,49.2896,1
17,-123.09718,49.27902,1
18,-123.09604,49.26143,1
19,-123.1473,49.26894,1
20,-123.15255,49.27279,1
21,-123.10299,49.26406,1
22,-123.06853,49.2757,1
23,-123.11585,49.25692,1
24,-123.09882,49.26672,1
25,-123.09938,49.25293,1
26,-123.13748,49.25886,1
27,-123.10665,49.27,2
28,-123.13547,49.28867,2
29,-123.05313,49.28395,1
30,-123.16241,49.26375,1
31,-123.13845,49.28795,1
32,-123.053,49.28021,1
33,-123.12429,49.27722,2
34,-123.1416,49.28852,1
35,-123.11863,49.26427,2
36,-123.13947,49.28442,1
37,-123.10842,49.25478,1
38,-123.1115,49.26569,1
39,-123.11663,49.26505,1
40,-123.07348,49.27,1
41,-123.10208,49.25848,1
42,-123.14856,49.26727,1
43,-123.09527,49.2834,1
44,-123.10197,49.26211,1
45,-123.09896,49.26808,1
46,-123.09963,49.27497,1
47,-123.13267,49.29139,1
48,-123.10943,49.27061,1
49,-123.09521,49.27189,1
50,-123.06698,49.27573,1
51,-123.14991,49.27078,1
52,-123.1108,49.2662,1
53,-123.13389,49.26007,1
54,-123.13308,49.2911,1
55,-123.07055,49.27223,1
56,-123.1189,49.20914,1
57,-123.15283,49.26925,1
58,-123.08331,49.25267,1
59,-123.12834,49.27408,1
60,-123.06001,49.26413,1
61,-123.11426,49.24799,1
62,-123.13138,49.26503,1
63,-123.14875,49.26985,1
64,-123.11311,49.25395,2
65,-123.1343,49.27635,1
66,-123.0743,49.26146,1
67,-123.20916,49.26438,1
68,-123.11432,49.22601,1
69,-123.1543,49.23359,1
70,-123.072,49.318,1
71,-123.14423,49.29014,1
72,-123.0904,49.26568,1
73,-123.11584,49.26508,1
74,-123.11767,49.25977,1
75,-123.06857,49.26503,1
76,-123.07124,49.26425,1
77,-123.1007,49.2751,1
78,-123.07534,49.28226,1
79,-123.07157,49.26227,1
80,-123.07188,49.26601,1
81,-123.104,49.24644,1
82,-123.02366,49.28234,1
83,-123.10958,49.25974,1
84,-123.16542,49.24763,1
85,-123.1104,49.25391,1
86,-123.14098,49.21939,2
87,-123.10575,49.27984,1
88,-123.10089,49.26763,1
89,-123.14343,49.2606,1
90,-123.09782,49.26637,2
91,-123.11807,49.25716,1
92,-123.03264,49.30887,1
93,-123.14125,49.25964,1
94,-123.05831,49.257,1
95,-123.0903,49.26346,1
96,-123.20742,49.262,1
97,-123.19348,49.24053,1
98,-123.08288,49.31211,1
99,-123.10176,49.27129,1
100,-123.10046,49.2592,1
101,-123.1025,49.242,1
102,-123.12081,49.26422,1
103,-123.14024,49.25987,2
104,-123.18119,49.26521,1
105,-123.07146,49.28225,1
106,-123.12696,49.2663,1
107,-123.11008,49.26124,1
108,-123.0985,49.26454,1
109,-123.1472,49.26636,1
110,-123.12438,49.25982,1
111,-123.1016,49.23016,2
112,-123.07045,49.28335,1
113,-123.12645,49.25528,1
114,-123.05208,49.27484,1
115,-123.15461,49.2648,1
116,-123.10193,49.26208,1
117,-123.18674,49.23119,1
118,-123.13923,49.25889,2
119,-123.2058,49.27029,1
120,-123.09951,49.26558,2
121,-123.09963,49.26064,3
122,-123.11095,49.26544,1
123,-123.09987,49.27785,2
124,-123.14055,49.26172,2
125,-123.15906,49.2309,1
126,-123.09377,49.33113,1
127,-123.10277,49.25338,1
128,-123.12176,49.26526,1
129,-123.02691,49.23992,1
130,-123.10498,49.26238,2
131,-123.1048,49.26437,1
132,-123.14014,49.28957,1
133,-123.13437,49.28939,1
134,-123.16848,49.25839,2
135,-123.12977,49.26105,1
136,-123.12617,49.25529,1
137,-123.1012,49.27018,1
138,-123.12371,49.25526,1
139,-123.10343,49.26118,1
140,-123.0879,49.25549,1
141,-123.12522,49.26249,1
142,-123.13634,49.28925,1
143,-123.13276,49.28695,1
144,-123.14052,49.29021,1
145,-123.10951,49.26352,1
146,-123.09533,49.28379,1
147,-123.09718,49.25839,1
148,-123.09963,49.25206,1
149,-123.13288,49.287,1
150,-123.14023,49.25805,1
151,-123.14237,49.26627,1
152,-123.1309,49.28934,1
153,-123.09542,49.26349,1
154,-123.1398,49.26179,1
155,-123.11106,49.26349,2
156,-123.08647,49.24916,1
157,-123.10704,49.28254,1
158,-123.0551,49.28023,1
159,-123.13855,49.21944,5
160,-123.13227,49.28106,1
161,-123.06055,49.28035,1
162,-123.10254,49.22668,6
163,-123.04559,49.28205,1
164,-123.10726,49.26741,1
165,-123.0656,49.27686,1
166,-123.13847,49.28514,1
167,-123.09031,49.27748,1
168,-123.12767,49.25783,1
169,-123.18676,49.26612,1
170,-123.13469,49.26255,2
171,-123.14077,49.26171,3
172,-123.11653,49.25156,2
173,-123.12424,49.28802,1
174,-123.10765,49.27899,1
175,-123.13222,49.26529,1
176,-123.10284,49.25933,1
177,-123.18659,49.2678,1
178,-123.21494,49.26985,1
